1431303393487,0, StartCollection,
1431303425335,31.848, StartLift, LowBarSquat
1431303445415,51.928, StopLift,
1431303485572,92.085, StartLift, LowBarSquat
1431303507779,114.292, StopLift,
1431303551493,158.006, StartLift, LowBarSquat
1431303572283,178.796, StopLift,
1431303627155,233.668, StartLift, LowBarSquat
1431303647493,254.006, StopLift,
1431303718032,324.545, StartLift, LowBarSquat
1431303738222,344.735, StopLift,
1431303813841,420.354, StartLift, LowBarSquat
1431303832885,439.398, StopLift,
1431303881139,487.652, StartLift, LowBarSquat
1431303901227,507.74, StopLift,
1431303938453,544.966, StartLift, LowBarSquat
1431303957867,564.38, StopLift,
1431304003588,610.101, StartLift, LowBarSquat
1431304022412,628.925, StopLift,
1431304056989,663.502, StartLift, LowBarSquat
1431304077195,683.708, StopLift,
1431304087840,694.353, StopCollection,
