0, StartCollection,
16.799, StartLift, EZCurl
32.534, StopLift,
69.985, StartLift, EZCurl
86.811, StopLift,
143.648, StartLift, EZCurl
160.62, StopLift,
208.598, StartLift, EZCurl
226.251, StopLift,
280.8, StartLift, EZCurl
297.777, StopLift,
372.71, StartLift, EZCurl
390.453, StopLift,
459.035, StartLift, EZCurl
476.383, StopLift,
530.113, StartLift, EZCurl
547.728, StopLift,
598.441, StartLift, EZCurl
615.484, StopLift,
690.056, StartLift, EZCurl
705.301, StopLift,
752.301, StartLift, EZCurl
769.041, StopLift,
775.659, StopCollection,
